styles,title,description,gender,product_type,images
NIKR-MA33,Nike U Nrg Off-white Tailwind Hat in Black,Centered around humanity and athletic innovations  Nike believes that if you have a body  you are an athlete. From footwear to an incredible variety of clothing  Nike is about enhancing performance while looking and feeling your best. Many of their shoe styles have become rare collector?s items because of their limited quantity and unique  yet classic design. Their-performance focused technologies have revolutionized athletic wear  while their exclusive fabrics such as Dri-Fit  AeroReact  and Storm-Fit highlight both function and aesthetics. Beyond apparel  Nike invests in the power of people  planet  and play with practices that seek to better serve the environment and support women in the workforce.,Men,Hats,https://is4.revolveassets.com/images/p4/n/z/NIKR-MA33_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/NIKR-MA33_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/NIKR-MA33_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/NIKR-MA33_V4.jpg
LACK-WA110,Lack of Color Riviera Cap in Green Boucle,Lack of Color represents the new 'it girl' must-have. The collection of quality crafted and designed hats includes colorful wool fedoras and stylish straw boaters and fedoras. The world is a beautiful place and Lack of Color makes it even more beautiful.,Women,Hats,https://is4.revolveassets.com/images/p4/n/z/LACK-WA110_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LACK-WA110_V2.jpg
LACK-WA111,Lack of Color Sandy Cowboy Hat in Ivory Tweed,Lack of Color represents the new 'it girl' must-have. The collection of quality crafted and designed hats includes colorful wool fedoras and stylish straw boaters and fedoras. The world is a beautiful place and Lack of Color makes it even more beautiful.,Women,Hats,https://is4.revolveassets.com/images/p4/n/z/LACK-WA111_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LACK-WA111_V2.jpg
SUMR-WU39,Summer Fridays Midnight Ritual Retinol Renewal Serum,Made for beauty lovers by beauty lovers in sunny California  acclaimed influencers Marianna Hewitt and Lauren Gores Ireland infuse their knowledge of the industry into a growing collection of products that give their audience what it was missing - beauty  efficacy and simplicity. Summer Fridays combines good-for-you ingredients with beautiful packaging to take your beauty regimen on a radiant journey.,Women,Face,https://is4.revolveassets.com/images/p4/n/z/SUMR-WU39_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/SUMR-WU39_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/SUMR-WU39_V3.jpg
SPDW-WD2053,superdown Talulah Knit Mini Dress in Green,superdown is a contemporary label offering on-demand  on-trend  on-social apparel. Always on the pulse of the latest styles  superdown is the go-to for aspiring  trendy  fashion-loving babes who are #superdown for anything.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2053_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2053_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2053_V3.jpg
LESH-WD658,LoveShackFancy Vernon Dress in Marigold Orange,LoveShackFancy is a collection of hand-dyed and printed silk dresses and separates. It embodies a lux bohemian lifestyle with whimsical pieces that can take you from the beaches of Tulum to an elegant dinner party in NYC.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/LESH-WD658_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD658_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD658_V3.jpg
LESH-WD659,LoveShackFancy Este Tunic in Island Vibes,LoveShackFancy is a collection of hand-dyed and printed silk dresses and separates. It embodies a lux bohemian lifestyle with whimsical pieces that can take you from the beaches of Tulum to an elegant dinner party in NYC.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/LESH-WD659_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD659_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD659_V3.jpg
LESH-WD663,LoveShackFancy Sanam Dress in Painted Mime,LoveShackFancy is a collection of hand-dyed and printed silk dresses and separates. It embodies a lux bohemian lifestyle with whimsical pieces that can take you from the beaches of Tulum to an elegant dinner party in NYC.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/LESH-WD663_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD663_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD663_V3.jpg
LESH-WD677,LoveShackFancy Tannie Tube Dress in Passion Sound,LoveShackFancy is a collection of hand-dyed and printed silk dresses and separates. It embodies a lux bohemian lifestyle with whimsical pieces that can take you from the beaches of Tulum to an elegant dinner party in NYC.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/LESH-WD677_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD677_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD677_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD677_V4.jpg
FAIB-WD523,FAITHFULL THE BRAND Mailee Midi Dress in Li Reni Floral Print,Scandinavia meets Australia with Faithfull the Brand. Creators Sarah-Jane Abrahams and Helle Them-Enger marry simplicity with a laid-back spirit through a delightful collection of shorts  dresses  and must-have lazy day tops. The pair's designs are all hand-sewn and hand-printed  lending each piece a unique character. By imbuing this respect for design with a signature bohemian vibe  Faithfull creates clothes for girls who chase their dreams and the sun.,Women,Dresss,https://is4.revolveassets.com/images/p4/n/z/FAIB-WD523_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/FAIB-WD523_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/FAIB-WD523_V3.jpg
FAIB-WD524,FAITHFULL THE BRAND Lucita Smock Dress in Dark Green,Scandinavia meets Australia with Faithfull the Brand. Creators Sarah-Jane Abrahams and Helle Them-Enger marry simplicity with a laid-back spirit through a delightful collection of shorts  dresses  and must-have lazy day tops. The pair's designs are all hand-sewn and hand-printed  lending each piece a unique character. By imbuing this respect for design with a signature bohemian vibe  Faithfull creates clothes for girls who chase their dreams and the sun.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/FAIB-WD524_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/FAIB-WD524_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/FAIB-WD524_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/FAIB-WD524_V4.jpg
FAIB-WD525,FAITHFULL THE BRAND Zippora Mini Dress in Camara Floral Print,Scandinavia meets Australia with Faithfull the Brand. Creators Sarah-Jane Abrahams and Helle Them-Enger marry simplicity with a laid-back spirit through a delightful collection of shorts  dresses  and must-have lazy day tops. The pair's designs are all hand-sewn and hand-printed  lending each piece a unique character. By imbuing this respect for design with a signature bohemian vibe  Faithfull creates clothes for girls who chase their dreams and the sun.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/FAIB-WD525_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/FAIB-WD525_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/FAIB-WD525_V3.jpg
FAIB-WD527,FAITHFULL THE BRAND Leiko Midi Dress in Mohina Floral Print,Scandinavia meets Australia with Faithfull the Brand. Creators Sarah-Jane Abrahams and Helle Them-Enger marry simplicity with a laid-back spirit through a delightful collection of shorts  dresses  and must-have lazy day tops. The pair's designs are all hand-sewn and hand-printed  lending each piece a unique character. By imbuing this respect for design with a signature bohemian vibe  Faithfull creates clothes for girls who chase their dreams and the sun.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/FAIB-WD527_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/FAIB-WD527_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/FAIB-WD527_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/FAIB-WD527_V4.jpg
LESH-WD685,LoveShackFancy Netra Dress in Raspberry Spice Latte,LoveShackFancy is a collection of hand-dyed and printed silk dresses and separates. It embodies a lux bohemian lifestyle with whimsical pieces that can take you from the beaches of Tulum to an elegant dinner party in NYC.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/LESH-WD685_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD685_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD685_V3.jpg
LESH-WD686,LoveShackFancy Natasha Dress in Marigold Orange,LoveShackFancy is a collection of hand-dyed and printed silk dresses and separates. It embodies a lux bohemian lifestyle with whimsical pieces that can take you from the beaches of Tulum to an elegant dinner party in NYC.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/LESH-WD686_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD686_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/LESH-WD686_V3.jpg
SPDW-WD2124,superdown Sammie Cut Out Dress in Lavender,superdown is a contemporary label offering on-demand  on-trend  on-social apparel. Always on the pulse of the latest styles  superdown is the go-to for aspiring  trendy  fashion-loving babes who are #superdown for anything.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2124_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2124_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2124_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2124_V4.jpg
KARI-WD559,Karina Grimaldi Kos Print Maxi Dress in Water Stones,In 2001  designer Karina Grimaldi relocated from Buenos Aires to Miami  where she began working on her eponymous line of clothing. Officially launched in 2003  her cool collection of womenswear offers detailed pieces inspired by Miami's multicultural and cosmopolitan atmosphere.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/KARI-WD559_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/KARI-WD559_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/KARI-WD559_V3.jpg
ZHIR-WD212,Zhivago Cala Conta Dress in Orchid,Founded in 2012  Zhivago is an Australian brand that has built a reputation for its signature fusion of impeccably tailored ready-to-wear  avant-garde separates and high octane evening wear. Achieving PETA approved status in 2017  ZHIVAGO which is a 100% cruelty-free fashion house  was honoured to be named PETA Australia's Most Animal-Friendly Label in 2018.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/ZHIR-WD212_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/ZHIR-WD212_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/ZHIR-WD212_V3.jpg
SPDW-WD2133,superdown Rayleen Cut Out Dress in Pink & Red,superdown is a contemporary label offering on-demand  on-trend  on-social apparel. Always on the pulse of the latest styles  superdown is the go-to for aspiring  trendy  fashion-loving babes who are #superdown for anything.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2133_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2133_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2133_V3.jpg
SPDW-WD2149,superdown Harper Halter Mini Dress in Brown Multi,superdown is a contemporary label offering on-demand  on-trend  on-social apparel. Always on the pulse of the latest styles  superdown is the go-to for aspiring  trendy  fashion-loving babes who are #superdown for anything.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2149_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2149_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2149_V3.jpg
LOVF-WD3579,Lovers and Friends Amiah Midi Dress in Green,Constantly inspired by the laid back Los Angeles lifestyle in which the brand was founded  Lovers and Friends exudes ease and wearability  creating an effortlessly chic look that is California cool.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3579_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3579_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3579_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3579_V4.jpg
TULA-WD1411,Tularosa Melina Mini Dress in Baby Blue & White,Tularosa  the new LA-based label  is a refined vintage-inspired collection of romantic dresses  textural jackets  and embroidered tops designed for the wild at heart.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/TULA-WD1411_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/TULA-WD1411_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/TULA-WD1411_V3.jpg
NBDR-WD2852,NBD Auli Maxi Dress in Black,For the girl who's the life of the party. For the girl who's always up for a glass of champagne. For the girl who likes to keep her closet as filled with as her social calendar  there's NBD. The young-at-heart line features dresses that every it girl covets and pieces that are sexy  flirty  fun and now.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/NBDR-WD2852_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/NBDR-WD2852_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/NBDR-WD2852_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/NBDR-WD2852_V4.jpg||https://is4.revolveassets.com/images/p4/n/z/NBDR-WD2852_V5.jpg
NBDR-WD2853,NBD Kordyn Midi Dress in Black,For the girl who's the life of the party. For the girl who's always up for a glass of champagne. For the girl who likes to keep her closet as filled with as her social calendar  there's NBD. The young-at-heart line features dresses that every it girl covets and pieces that are sexy  flirty  fun and now.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/NBDR-WD2853_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/NBDR-WD2853_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/NBDR-WD2853_V3.jpg
NBDR-WD2855,NBD Sheila Mini Dress in Bubblegum Pink Leo,For the girl who's the life of the party. For the girl who's always up for a glass of champagne. For the girl who likes to keep her closet as filled with as her social calendar  there's NBD. The young-at-heart line features dresses that every it girl covets and pieces that are sexy  flirty  fun and now.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/NBDR-WD2855_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/NBDR-WD2855_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/NBDR-WD2855_V3.jpg
LIDR-WD36,L'IDEE Renaissance Split Gown in White,,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/LIDR-WD36_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LIDR-WD36_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/LIDR-WD36_V3.jpg
LIDR-WD37,L'IDEE Renaissance Mini in Black,,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/LIDR-WD37_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LIDR-WD37_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/LIDR-WD37_V3.jpg
TULA-WD1420,Tularosa Estee Maxi Dress in Louisa Floral,Tularosa  the new LA-based label  is a refined vintage-inspired collection of romantic dresses  textural jackets  and embroidered tops designed for the wild at heart.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/TULA-WD1420_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/TULA-WD1420_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/TULA-WD1420_V3.jpg
LOVF-WD3593,Lovers and Friends Bash Midi Dress in Fetch Floral,Constantly inspired by the laid back Los Angeles lifestyle in which the brand was founded  Lovers and Friends exudes ease and wearability  creating an effortlessly chic look that is California cool.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3593_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3593_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3593_V3.jpg
LOVF-WD3594,Lovers and Friends Dixie Mini Dress in Fetch Floral,Constantly inspired by the laid back Los Angeles lifestyle in which the brand was founded  Lovers and Friends exudes ease and wearability  creating an effortlessly chic look that is California cool.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3594_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3594_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3594_V3.jpg
LOVF-WD3597,Lovers and Friends Jasmine Midi Dress in Fiona Floral,Constantly inspired by the laid back Los Angeles lifestyle in which the brand was founded  Lovers and Friends exudes ease and wearability  creating an effortlessly chic look that is California cool.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3597_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3597_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3597_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/LOVF-WD3597_V4.jpg
OSTR-WD1,Ostra Brasil Furrowed Cut Out Dress in Psy Green,,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/OSTR-WD1_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/OSTR-WD1_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/OSTR-WD1_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/OSTR-WD1_V4.jpg
ROCS-WD250,ROCOCO SAND Moss Robe in White,Best described in three words: sophisticated  luxurious and glamorous  Rococo Sand focuses on creating a style of women who cant get enough of the finer things. With an array of embroidered peasant tops  boldly printed maxi dresses  and tropical-inspired tanks  each Rococo Sand piece looks like a Grecian Island vacationers dream.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/ROCS-WD250_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/ROCS-WD250_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/ROCS-WD250_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/ROCS-WD250_V4.jpg
DVWS-WD29,DEVON WINDSOR Katalina Mini Dress in Black,DEVON WINDSOR launched with a collection of fashion forward swimwear in 2019. Made of luxurious Italian and Brazilian fabrics  the line incorporates refined details and unique hardware on styles including high cut bikinis  belted and cut out full-piece suits. Since its debut  the collection has expanded to offer an array of stylish resort wear and cover ups for both on and off the beach. Easy  wearable styles including cropped jackets  mini skirts  and knit dresses make for confident looks with minimal effort.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/DVWS-WD29_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/DVWS-WD29_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/DVWS-WD29_V3.jpg
SPDW-WD2171,superdown Ilana Ruched Mini Dress in Neon Yellow,superdown is a contemporary label offering on-demand  on-trend  on-social apparel. Always on the pulse of the latest styles  superdown is the go-to for aspiring  trendy  fashion-loving babes who are #superdown for anything.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2171_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2171_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2171_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/SPDW-WD2171_V4.jpg
BGEN-WD934,BCBGeneration Mini Slip Dress in Peach Parfait,Founded in 1989  BCBGMAXAZRIA is the vision of one man: founder  designer  chairman and CEO Max Azria. Named for the French phrase bon chic  bon genre  a Parisian slang meaning good style  good attitude  the brand embodies a true combination of European sophistication and American spirit. The collection is a resulting line of directional  sophisticated designs in the most luxurious fabrics. Celebrities such as Angelina Jolie  Sarah Michelle Gellar  Rachel Bilson and Eva Mendes amongst many others  are huge fans of the brand.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/BGEN-WD934_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/BGEN-WD934_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/BGEN-WD934_V3.jpg
CAMN-WD77,CAMI NYC Anges Mini Dress in Turquoise Ombre,The search for the perfect silk camisole is over. Cami NYC designs the perfect staple piece to compliment your wardrobe and refine your everyday style with a collection of camisoles in a variety of distinct styles and range of colors. Each and every camisole is classic  feminine and versatile.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/CAMN-WD77_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/CAMN-WD77_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/CAMN-WD77_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/CAMN-WD77_V4.jpg
ISAR-WD44,Isabel Marant Etoile Dulce Mini Dress in Black,The standard-bearer for insouciant Parisian chicness  Isabel Marant launched her easygoing Etoile diffusion line in 1999. The collection dispenses with formality: Etoile is known for its comfortable  relaxed styles. With deconstructed shapes and soft prints  the label showcases a fluid  feminine feel.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/ISAR-WD44_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/ISAR-WD44_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/ISAR-WD44_V3.jpg
MALR-WD1240,MAJORELLE Paloma Gown in Pink Sangria Sunset,Named after the Jardin du Majorelle located in Marrakech  Majorelle borrows its namesake label from a garden that was a 40-year old labor of love by artist Jacque Majorelle. Former head designer and creative director of Style Stalker and The Jetset Diaries  Rachel Zeilic offers up a romantic escape driven by a sense of wanderlust and effortless appeal. Based in Los Angeles  the label is wistful and romantic  while still remaining sexy and modern perfectly blending elegant dressing for the luxe-bohemian dreamer who loves to travel the world.,Women,Dresses,https://is4.revolveassets.com/images/p4/n/z/MALR-WD1240_V1.jpg||https://is4.revolveassets.com/images/p4/n/z/MALR-WD1240_V2.jpg||https://is4.revolveassets.com/images/p4/n/z/MALR-WD1240_V3.jpg||https://is4.revolveassets.com/images/p4/n/z/MALR-WD1240_V4.jpg||https://is4.revolveassets.com/images/p4/n/z/MALR-WD1240_V5.jpg
